Name,Team,College,Salary,Height,Weight,Age,Position,College_for_count,Player_Count
,,,,,,,,,82
Kevin Seraphin,New York Knicks,,2814000.0,6-10,278,26,C,,
Kendrick Perkins,New Orleans Pelicans,,947276.0,6-10,270,31,C,,
Al Jefferson,Charlotte Hornets,,13500000.0,6-10,289,31,C,,
Nikola Jokic,Denver Nuggets,,1300000.0,6-10,250,21,C,,
Ian Mahinmi,Indiana Pacers,,4000000.0,6-11,250,29,C,,
Zaza Pachulia,Dallas Mavericks,,5200000.0,6-11,275,32,C,,
Dwight Howard,Houston Rockets,,22359364.0,6-11,265,30,C,,
Tiago Splitter,Atlanta Hawks,,9756250.0,6-11,245,31,C,,
Marcin Gortat,Washington Wizards,,11217391.0,6-11,240,32,C,,
Nene Hilario,Washington Wizards,,13000000.0,6-11,250,33,C,,
Joffrey Lauvergne,Denver Nuggets,,1709719.0,6-11,220,24,C,,
Nikola Pekovic,Minnesota Timberwolves,,12100000.0,6-11,307,30,C,,
Boris Diaw,San Antonio Spurs,,7500000.0,6-8,250,34,C,,
Bismack Biyombo,Toronto Raptors,,2814000.0,6-9,245,23,C,,
Josh Smith,Houston Rockets,,947276.0,6-9,225,30,C,,
Lucas Nogueira,Toronto Raptors,,1842000.0,7-0,220,23,C,,
Jonas Valanciunas,Toronto Raptors,,4660482.0,7-0,255,24,C,,
Pau Gasol,Chicago Bulls,,7448760.0,7-0,250,35,C,,
Omer Asik,New Orleans Pelicans,,9213483.0,7-0,255,29,C,,
Jusuf Nurkic,Denver Nuggets,,1842000.0,7-0,280,21,C,,
Tyson Chandler,Phoenix Suns,,13000000.0,7-1,240,33,C,,
Timofey Mozgov,Cleveland Cavaliers,,4950000.0,7-1,275,29,C,,
Marc Gasol,Memphis Grizzlies,,19688000.0,7-1,255,31,C,,
Rudy Gobert,Utah Jazz,,1175880.0,7-1,245,23,C,,
Salah Mejri,Dallas Mavericks,,525093.0,7-2,245,29,C,,
